50	137	136	139	128	136	796	
52	139	135	141	125	137	817	
54	107	119	120	115	121	722	
56	142	146	145	140	146	836	
58	145	145	145	141	145	844	
60	143	147	145	142	145	850	
62	136	144	135	134	146	799	
64	142	145	146	140	146	842	
66	143	145	145	140	147	830	
68	144	147	145	139	147	849	
70	142	146	145	140	146	844	
72	142	146	147	140	147	854	
74	144	146	145	140	146	845	
76	134	132	133	140	146	850	
78	143	145	144	139	145	836	
80	143	147	145	141	146	847	
82	144	147	146	140	146	848	
84	139	144	142	137	143	825	
86	143	146	145	139	146	843	
88	144	148	146	141	148	851	
90	112	137	142	137	143	824	
92	140	144	144	137	143	822	
94	135	142	139	132	139	782	
96	144	148	147	141	148	848	
98	143	147	145	139	147	848	
100	144	148	147	139	147	847	
102	143	146	146	140	146	845	
104	135	148	147	114	147	848	
106	144	148	147	140	148	853	
108	144	148	147	140	149	849	
110	143	147	144	139	145	837	
112	143	148	147	138	146	839	
114	140	148	146	140	144	846	
116	138	148	147	138	148	828	
118	139	146	146	139	147	842	
120	143	149	148	139	149	841	
122	143	148	146	139	148	848	
124	142	148	147	138	148	844	
126	123	147	124	121	147	730	
128	143	149	146	139	148	836	
130	137	148	146	137	147	838	
132	143	149	147	136	148	842	
134	122	147	145	134	146	827	
136	142	148	147	130	148	825	
138	133	145	145	135	148	830	
140	142	148	147	136	148	831	
142	140	147	144	131	146	793	
144	137	148	147	131	148	821	
146	141	148	146	133	147	820	
148	139	148	146	132	147	808	
150	116	147	145	133	146	808	
152	136	148	147	130	148	801	
154	141	148	146	132	147	811	
156	136	149	146	132	148	803	
158	129	147	131	123	146	752	
160	135	149	147	130	148	797	
162	137	148	145	130	147	806	
164	134	149	146	125	148	782	
166	137	146	142	131	145	797	
168	118	149	145	119	148	758	
170	133	148	144	129	147	798	
172	121	145	140	118	143	731	
174	124	148	141	126	146	762	
176	125	149	144	120	148	756	
178	135	148	144	126	147	777	
180	128	148	144	120	148	757	
182	133	147	141	125	146	768	
